industry,year,gross_output_cp,va_cp,energy_cp,material_cp,number_employed,lab_quality,capital_stock_cp
7,1993,"2,95,048","43,285",6236,321623, 97 ,106.78," 27,412 "
8,1993,"1,79,344","55,690",9946,46138," 1,700 ",117.79," 1,43,612 "
9,1993,"36,935","11,966",3305,17622, 628 ,118.51," 34,622 "
10,1993,"60,550","23,123",12245,10664," 3,189 ",117.24," 50,983 "
11,1993,"2,08,836","62,700",27468,97371," 2,740 ",117.33," 2,14,176 "
12,1993,"63,876","23,841",4737,34838, 754 ,131.81," 50,541 "
13,1993,"27,312","8,365",2037,17667, 917 ,110.51," 50,151 "
14,1993,"90,545","21,337",6652,45867, 836 ,120.63," 49,152 "
15,1993,"18,607","9,082",1019,7147," 3,207 ",109.32," 41,878 "
16,1993,"1,86,502","63,010",64246,55552," 1,114 ",107.68," 8,61,087 "
17,1993,"4,56,166","1,81,837",7355,135702," 14,015 ",107.23," 87,145 "
18,1993,"2,61,666","1,97,144",6960,11296," 28,467 ",109.64," 1,04,471 "
19,1993,"71,530","18,328",2389,35562," 3,312 ",103.88," 30,609 "
20,1993,"2,26,961","1,01,731",74504,30986," 9,827 ",108.54," 6,29,882 "
21,1993,"29,151","11,524",15264,7637, 767 ,106.50," 90,499 "
22,1993,"1,43,672","1,15,641",1739,2727," 2,166 ",110.48," 1,46,375 "
23,1993,"70,362","42,937",862,6103," 1,268 ",102.73," 95,267 "
24,1993,"2,19,282","1,57,905",1294,7731," 9,956 ",111.04," 9,67,143 "
25,1993,"59,822","51,721",244,4092," 6,498 ",107.56," 39,723 "
26,1993,"44,487","20,870",568,17630," 2,076 ",113.82," 20,019 "
27,1993,"4,43,386","3,86,679",656,28225," 13,678 ",116.46," 21,36,969 "
1,1994,"12,15,219","9,18,025",25511,204882," 2,40,078 ",104.20," 15,57,081 "
2,1994,"2,43,341","1,48,072",11494,14458," 2,604 ",116.67," 1,64,852 "
3,1994,"2,18,641","59,883",4017,110742," 9,301 ",109.97," 2,13,525 "
4,1994,"1,57,713","55,687",10702,58298," 11,225 ",109.89," 1,45,660 "
5,1994,"34,991","16,700",960,11118," 3,421 ",93.18," 15,536 "
6,1994,"42,267","15,687",3649,13126," 1,000 ",114.49," 2,38,683 "
7,1994,"3,13,367","45,858",5302,351885, 99 ,108.37," 27,749 "
8,1994,"1,86,615","57,958",10907,49946," 1,732 ",119.07," 1,48,886 "
9,1994,"38,924","11,628",3641,19149, 653 ,120.14," 38,557 "
10,1994,"65,826","25,728",13172,12029," 3,221 ",117.75," 55,613 "
11,1994,"2,34,764","75,145",29952,105973," 2,829 ",118.30," 2,29,698 "
12,1994,"72,760","25,821",5390,41036, 810 ,134.29," 53,400 "
13,1994,"36,597","12,296",2570,22725, 943 ,109.97," 54,956 "
14,1994,"1,12,784","25,646",8432,57430, 855 ,120.48," 50,831 "
15,1994,"17,515","8,403",921,7124," 3,213 ",110.36," 46,901 "
16,1994,"2,03,582","68,918",71899,64739," 1,116 ",109.00," 8,99,356 "
17,1994,"4,78,725","1,91,622",8319,145025," 14,454 ",107.59," 93,900 "
18,1994,"2,85,414","2,18,529",7437,10812," 29,536 ",110.48," 1,11,649 "
19,1994,"75,120","19,071",2572,35948," 3,459 ",104.66," 32,384 "
20,1994,"2,46,359","1,10,199",81203,32245," 10,267 ",109.27," 6,53,069 "
21,1994,"33,440","13,302",15711,10642, 828 ,107.34," 1,00,262 "
22,1994,"1,52,755","1,21,082",1990,3303," 2,206 ",110.46," 1,66,240 "
23,1994,"79,626","48,232",983,7347," 1,398 ",103.00," 1,05,507 "
24,1994,"2,22,260","1,60,050",1286,7617," 10,014 ",111.41," 10,05,861 "
25,1994,"63,521","54,778",256,3976," 6,779 ",108.05," 42,938 "
26,1994,"45,128","21,936",583,15586," 2,167 ",114.54," 21,864 "
27,1994,"4,56,595","3,94,093",710,30441," 14,125 ",116.58," 22,17,370 "
1,1995,"12,13,891","9,11,642",23596,211323," 2,40,093 ",104.46," 15,84,596 "
2,1995,"2,62,100","1,56,758",12089,15704," 2,606 ",116.34," 1,70,598 "
3,1995,"2,35,078","60,106",4342,118077," 9,479 ",111.01," 2,39,435 "
4,1995,"1,46,423","51,196",11625,56531," 11,274 ",110.87," 1,70,988 "
5,1995,"39,932","20,000",1010,12370," 3,608 ",93.84," 17,675 "
6,1995,"43,457","16,533",4264,14229," 1,045 ",114.74," 2,45,786 "
7,1995,"3,81,687","53,756",6691,430479, 100 ,110.34," 28,790 "
8,1995,"2,18,619","73,726",12264,56820," 1,749 ",120.30," 1,74,458 "
9,1995,"38,979","12,067",4186,21051, 667 ,121.82," 48,418 "
10,1995,"75,532","32,166",15096,14302," 3,253 ",117.95," 67,034 "
11,1995,"2,72,012","90,283",35887,122439," 2,942 ",119.12," 2,50,390 "
12,1995,"94,717","35,395",6648,50756, 871 ,136.70," 60,657 "
13,1995,"39,639","12,523",2862,25730, 964 ,108.97," 61,824 "
14,1995,"1,58,677","39,637",11775,76620, 876 ,119.71," 58,846 "
15,1995,"19,542","9,755",928,7794," 3,202 ",111.50," 56,212 "
16,1995,"2,16,984","73,602",77258,69847," 1,118 ",110.56," 9,32,333 "
17,1995,"5,29,200","2,03,082",10571,174166," 14,920 ",107.88," 1,05,294 "
18,1995,"3,20,277","2,49,141",8170,10270," 30,656 ",111.35," 1,22,167 "
19,1995,"95,114","23,924",3273,45851," 3,647 ",105.62," 34,396 "
20,1995,"2,69,834","1,20,449",88087,31296," 10,769 ",110.03," 6,70,870 "
21,1995,"38,701","15,490",15316,15925, 898 ,108.29," 1,10,811 "
22,1995,"1,72,925","1,34,951",2501,4290," 2,207 ",110.16," 1,93,198 "
23,1995,"95,229","57,254",1186,9523," 1,556 ",103.28," 1,19,381 "
24,1995,"2,37,146","1,70,769",1376,7929," 10,078 ",111.61," 10,35,855 "
25,1995,"70,389","60,546",286,4063," 7,059 ",108.50," 46,238 "
26,1995,"47,172","23,729",616,16541," 2,276 ",115.12," 23,692 "
27,1995,"4,76,905","4,07,333",784,33852," 14,369 ",116.29," 23,01,925 "
1,1996,"13,04,813","10,02,079",21601,214573," 2,40,128 ",104.72," 16,15,593 "
2,1996,"2,61,280","1,57,628",12319,16147," 2,608 ",116.01," 1,66,919 "
3,1996,"2,57,689","62,402",4783,128073," 9,664 ",112.06," 2,59,784 "
4,1996,"1,73,116","62,605",13563,66199," 11,326 ",111.86," 1,94,726 "
5,1996,"46,074","22,488",1108,14999," 3,806 ",94.51," 19,724 "
6,1996,"45,742","16,826",4249,14965," 1,093 ",114.99," 2,51,120 "
7,1996,"4,21,793","67,917",8093,425142, 102 ,112.35," 33,458 "
8,1996,"2,52,455","81,905",13912,66479," 1,766 ",121.54," 1,94,283 "
9,1996,"57,284","18,259",5557,30430, 681 ,123.52," 70,868 "
10,1996,"94,391","42,534",16443,16720," 3,286 ",118.15," 81,031 "
11,1996,"2,74,671","97,127",33606,115401," 3,061 ",119.95," 2,67,538 "
12,1996,"1,01,887","38,543",7006,53707, 937 ,139.15," 67,617 "
13,1996,"41,766","12,738",2965,27146, 985 ,107.98," 68,753 "
14,1996,"1,52,062","38,115",11628,73245, 898 ,118.94," 75,107 "
15,1996,"21,112","10,313",884,8767," 3,197 ",112.66," 62,585 "
16,1996,"2,28,337","77,607",69947,73593," 1,120 ",112.15," 9,67,953 "
17,1996,"5,38,468","2,06,888",11588,179046," 15,422 ",108.17," 1,09,531 "
18,1996,"3,39,682","2,68,391",8673,9942," 31,850 ",112.22," 1,28,185 "
19,1996,"1,08,334","26,994",4032,53504," 3,847 ",106.58," 35,818 "
20,1996,"2,91,234","1,29,733",98224,33517," 11,299 ",110.80," 6,90,406 "
21,1996,"42,593","17,152",15896,18216, 976 ,109.25," 1,19,861 "
22,1996,"1,90,579","1,46,395",2946,4850," 2,210 ",109.86," 2,23,353 "
23,1996,"1,07,942","64,411",1440,11959," 1,732 ",103.57," 1,38,396 "
24,1996,"2,46,933","1,77,817",1424,8142," 10,145 ",111.80," 10,62,959 "
25,1996,"77,290","66,311",308,4216," 7,351 ",108.96," 49,845 "
26,1996,"49,442","25,708",674,18200," 2,392 ",115.70," 25,658 "
27,1996,"5,02,418","4,24,606",938,38936," 14,627 ",116.00," 24,03,389 "
1,1997,"12,91,701","9,76,489",19705,227474," 2,40,181 ",104.98," 16,48,923 "
2,1997,"2,75,716","1,73,091",11237,16631," 2,610 ",115.67," 1,65,230 "
3,1997,"2,77,645","71,060",4813,140724," 9,855 ",113.12," 2,79,584 "
4,1997,"1,94,482","65,935",15050,76402," 11,381 ",112.86," 2,23,023 "
5,1997,"40,295","19,760",1009,15400," 4,016 ",95.18," 22,057 "
6,1997,"43,416","14,762",3537,14644," 1,145 ",115.23," 2,57,606 "
7,1997,"3,76,643","57,175",6355,391506, 104 ,114.40," 36,725 "
8,1997,"2,77,802","78,053",14793,81588," 1,783 ",122.79," 2,31,690 "
9,1997,"61,554","18,038",5270,33604, 695 ,125.25," 76,985 "
10,1997,"90,571","36,025",14556,18931," 3,320 ",118.35," 97,958 "
11,1997,"2,97,796","93,552",34604,131976," 3,186 ",120.78," 2,93,585 "
12,1997,"90,919","32,706",5723,49041," 1,010 ",141.65," 73,661 "
13,1997,"49,584","13,870",3227,32894," 1,007 ",106.99," 76,780 "
14,1997,"1,52,355","36,557",11050,74649, 920 ,118.17," 82,893 "
15,1997,"27,667","13,033",961,11968," 3,200 ",113.83," 69,077 "
16,1997,"2,45,473","83,598",64630,78905," 1,122 ",113.76," 10,03,158 "
17,1997,"5,82,866","2,28,555",11842,195399," 15,960 ",108.46," 1,26,764 "
18,1997,"3,60,030","2,88,874",8384,9056," 33,120 ",113.10," 1,36,240 "
19,1997,"1,18,172","29,168",4284,59548," 4,058 ",107.56," 37,243 "
20,1997,"3,06,350","1,36,183",103757,35916," 11,859 ",111.57," 6,99,747 "
21,1997,"50,857","20,605",15086,22401," 1,060 ",110.21," 1,29,431 "
22,1997,"2,30,014","1,73,870",3363,5737," 2,213 ",109.56," 2,41,619 "
23,1997,"1,33,076","78,810",1716,15835," 1,928 ",103.86," 1,67,445 "
24,1997,"2,82,180","2,03,198",1513,9039," 10,213 ",112.00," 10,88,287 "
25,1997,"85,996","73,591",318,4113," 7,657 ",109.42," 55,502 "
26,1997,"51,631","27,721",669,18089," 2,514 ",116.29," 28,633 "
27,1997,"5,15,644","4,31,146",981,42141," 14,899 ",115.71," 25,26,744 "
1,1998,"13,65,631","10,38,207",18538,238806," 2,40,252 ",105.25," 16,93,711 "
2,1998,"2,74,210","1,77,981",10607,15463," 2,613 ",115.34," 1,63,394 "
3,1998,"2,87,810","72,177",5829,159845," 10,053 ",114.19," 2,92,045 "
4,1998,"1,78,851","61,582",15624,72256," 11,439 ",113.86," 2,40,527 "
5,1998,"42,294","19,535",1384,18508," 4,239 ",95.85," 24,986 "
6,1998,"43,795","15,457",3598,14614," 1,199 ",115.48," 2,61,557 "
7,1998,"3,94,484","55,979",11634,432343, 106 ,116.48," 58,265 "
8,1998,"2,91,402","92,757",15519,86416," 1,802 ",124.06," 2,48,964 "
9,1998,"70,135","19,060",6145,39016, 710 ,127.00," 79,404 "
10,1998,"84,411","32,567",13926,19531," 3,356 ",118.55," 1,15,265 "
11,1998,"2,88,666","97,582",32426,122305," 3,317 ",121.61," 3,34,497 "
12,1998,"1,06,876","36,997",6963,59477," 1,090 ",144.19," 83,517 "
13,1998,"51,225","15,851",3242,32557," 1,030 ",106.02," 82,913 "
14,1998,"1,31,784","30,749",10260,66046, 944 ,117.41," 92,000 "
15,1998,"33,198","15,216",1095,15346," 3,210 ",115.01," 74,739 "
16,1998,"2,62,212","89,476",71480,98617," 1,124 ",115.40," 10,48,043 "
17,1998,"6,47,847","2,42,897",14935,225912," 16,536 ",108.75," 1,41,381 "
18,1998,"3,80,165","3,09,682",8806,7878," 34,472 ",113.98," 1,48,178 "
19,1998,"1,35,975","33,242",5136,65874," 4,280 ",108.54," 39,188 "
20,1998,"3,22,371","1,43,006",117267,37502," 12,449 ",112.35," 7,12,759 "
21,1998,"60,404","24,622",15798,27002," 1,152 ",111.19," 1,39,058 "
22,1998,"2,55,205","1,89,787",3960,6538," 2,216 ",109.25," 2,61,692 "
23,1998,"1,67,624","94,242",2570,23514," 2,148 ",104.14," 2,07,801 "
24,1998,"3,11,979","2,24,656",1788,10052," 10,284 ",112.19," 11,25,980 "
25,1998,"96,037","81,970",377,3967," 7,977 ",109.88," 65,309 "
26,1998,"54,846","30,376",770,16772," 2,645 ",116.88," 33,742 "
27,1998,"5,28,299","4,45,210",1051,42149," 15,187 ",115.41," 26,71,043 "
1,1999,"14,18,363","10,65,918",22522,255277," 2,40,340 ",105.51," 17,72,921 "
2,1999,"2,89,155","1,85,439",10159,17445," 2,616 ",115.01," 1,67,133 "
3,1999,"3,06,609","74,709",5899,168534," 10,257 ",115.27," 3,20,579 "
4,1999,"1,96,958","65,184",14487,80223," 11,499 ",114.88," 2,65,237 "
5,1999,"39,688","16,839",1031,15613," 4,476 ",96.53," 28,084 "
6,1999,"42,805","15,181",3461,15087," 1,257 ",115.73," 2,63,462 "
7,1999,"4,45,231","51,556",10080,468403, 108 ,118.61," 70,481 "
8,1999,"3,12,918","93,916",17725,100095," 1,822 ",125.34," 2,66,106 "
9,1999,"75,935","20,200",5492,42660, 725 ,128.77," 82,253 "
10,1999,"1,16,131","45,071",17645,25709," 3,394 ",118.75," 1,31,047 "
11,1999,"3,15,377","1,01,866",38393,134804," 3,455 ",122.46," 3,29,038 "
12,1999,"1,04,961","37,068",5790,59126," 1,178 ",146.78," 87,977 "
13,1999,"53,564","14,578",2995,35540," 1,053 ",105.05," 93,727 "
14,1999,"1,75,764","39,096",11917,92076, 969 ,116.65," 1,03,990 "
15,1999,"39,379","16,038",1036,18222," 3,228 ",116.20," 80,636 "
16,1999,"2,83,902","94,275",73471,88527," 1,126 ",117.06," 10,85,288 "
17,1999,"7,34,410","2,63,281",18323,283413," 17,150 ",109.04," 1,62,733 "
18,1999,"4,05,900","3,31,489",8897,8310," 35,911 ",114.88," 1,57,052 "
19,1999,"1,49,194","36,492",5139,71269," 4,516 ",109.53," 40,218 "
20,1999,"3,50,689","1,53,213",125193,44011," 13,073 ",113.13," 7,34,816 "
21,1999,"75,385","30,071",15227,29692," 1,252 ",112.17," 1,52,831 "
22,1999,"2,89,211","2,14,543",4520,7477," 2,220 ",108.96," 2,81,993 "
23,1999,"1,97,349","1,16,196",2819,24290," 2,393 ",104.43," 2,73,412 "
24,1999,"3,53,903","2,54,846",1811,11114," 10,357 ",112.39," 11,65,229 "
25,1999,"1,09,240","93,695",434,4242," 8,311 ",110.34," 73,663 "
26,1999,"60,878","34,748",808,16378," 2,783 ",117.47," 38,107 "
27,1999,"5,53,109","4,59,644",1130,47515," 15,491 ",115.12," 28,88,519 "
1,2000,"14,08,166","10,65,837",19489,249100," 2,42,985 ",105.78," 18,38,871 "
2,2000,"2,98,251","1,89,727",9644,20125," 2,619 ",116.75," 1,64,923 "
3,2000,"3,35,483","80,833",5448,174933," 10,304 ",116.04," 3,43,728 "
4,2000,"2,10,219","71,367",12958,83985," 11,993 ",115.74," 2,83,872 "
5,2000,"41,069","17,924",805,14830," 4,629 ",97.33," 32,484 "
6,2000,"38,908","13,956",2888,14279," 1,322 ",117.81," 2,64,485 "
7,2000,"5,15,608","53,627",9650,639468, 110 ,121.60," 81,347 "
8,2000,"3,35,924","1,01,887",18366,106137," 1,862 ",125.95," 2,76,468 "
9,2000,"83,582","29,676",4668,43489, 741 ,128.40," 83,728 "
10,2000,"1,16,459","45,094",16720,26181," 3,544 ",118.78," 1,52,336 "
11,2000,"3,24,565","1,07,070",40069,134813," 3,530 ",122.74," 3,33,906 "
12,2000,"1,03,883","38,409",4693,58682," 1,262 ",148.38," 92,190 "
13,2000,"64,221","17,817",3039,42961," 1,077 ",105.81," 1,03,619 "
14,2000,"1,71,068","38,772",9695,91655, 995 ,118.38," 1,09,978 "
15,2000,"36,094","15,063",696,15840," 3,418 ",116.71," 87,368 "
16,2000,"2,98,496","96,385",76053,83718," 1,151 ",118.12," 11,19,674 "
17,2000,"7,55,692","2,79,465",17787,286431," 18,533 ",109.36," 1,79,612 "
18,2000,"4,25,035","3,48,000",8057,8768," 37,210 ",115.60," 1,65,161 "
19,2000,"1,59,511","39,035",4777,77708," 4,780 ",110.10," 43,901 "
20,2000,"3,81,256","1,64,007",116021,50193," 13,674 ",113.90," 7,59,435 "
21,2000,"96,356","37,597",14589,34999," 1,361 ",112.65," 1,73,722 "
22,2000,"2,82,996","2,09,411",3563,7319," 2,335 ",109.15," 2,97,417 "
23,2000,"2,46,017","1,45,113",3303,28305," 2,660 ",105.48," 3,47,250 "
24,2000,"3,57,150","2,59,566",1425,10895," 10,127 ",112.92," 12,11,301 "
25,2000,"1,15,789","99,794",399,4376," 8,793 ",110.90," 81,618 "
26,2000,"65,937","38,753",767,16900," 2,938 ",118.27," 42,504 "
27,2000,"5,66,030","4,72,578",972,45572," 15,818 ",116.31," 30,82,136 "
1,2001,"15,07,237","11,29,863",21888,274173," 2,46,556 ",106.06," 19,36,847 "
2,2001,"3,04,159","1,93,260",9125,21522," 2,623 ",119.23," 1,63,263 "
3,2001,"3,45,566","80,587",5412,179376," 10,298 ",116.72," 3,52,674 "
4,2001,"2,10,506","69,880",11057,85005," 12,681 ",116.54," 2,86,264 "
5,2001,"38,167","15,538",671,13240," 4,757 ",98.18," 34,266 "
6,2001,"41,216","14,496",2761,15585," 1,392 ",120.55," 2,68,452 "
7,2001,"5,73,707","60,547",5632,789939, 113 ,124.95," 1,18,318 "
8,2001,"3,48,417","1,07,701",18568,108233," 1,912 ",126.33," 2,74,823 "
9,2001,"87,961","32,633",4193,46860, 757 ,127.31," 82,978 "
10,2001,"1,18,509","45,972",17081,27006," 3,741 ",118.74," 1,69,205 "
11,2001,"3,30,900","1,08,433",41757,134775," 3,584 ",122.83," 3,31,973 "
12,2001,"93,472","34,689",3850,56365," 1,290 ",149.65," 93,312 "
13,2001,"69,131","19,670",2884,47154," 1,102 ",107.16," 1,07,284 "
14,2001,"1,82,547","41,778",8805,99436," 1,022 ",121.00," 1,09,036 "
15,2001,"39,989","14,610",630,18871," 3,682 ",116.99," 90,362 "
16,2001,"3,12,883","98,163",78510,81386," 1,184 ",119.00," 11,54,073 "
17,2001,"8,97,725","2,90,607",23099,362124," 20,045 ",109.69," 2,27,128 "
18,2001,"4,65,587","3,82,170",8340,9468," 38,516 ",116.26," 1,79,441 "
19,2001,"1,71,947","42,099",4703,82378," 5,065 ",110.54," 47,670 "
20,2001,"4,04,817","1,71,423",120989,56187," 14,285 ",114.67," 7,82,445 "
21,2001,"1,17,695","44,897",16042,45196," 1,482 ",112.97," 1,90,318 "
22,2001,"3,06,394","2,26,161",4002,8579," 2,497 ",109.52," 3,22,784 "
23,2001,"2,76,758","1,63,540",3722,30274," 2,956 ",106.79," 4,61,195 "
24,2001,"3,71,302","2,66,932",1402,11723," 9,807 ",113.57," 12,76,757 "
25,2001,"1,19,485","1,03,478",418,4453," 9,355 ",111.48," 93,296 "
26,2001,"68,920","41,674",772,17233," 3,107 ",119.14," 49,376 "
27,2001,"5,79,428","4,86,013",880,43698," 16,160 ",118.01," 33,77,105 "
1,2002,"14,13,252","10,55,244",21638,259680," 2,50,218 ",106.34," 20,14,059 "
2,2002,"3,22,423","2,09,525",10094,25599," 2,627 ",121.75," 1,63,211 "
3,2002,"4,09,015","91,409",7134,222347," 10,295 ",117.40," 3,73,368 "
4,2002,"2,26,496","74,561",11064,92505," 13,430 ",117.36," 3,03,693 "
5,2002,"33,833","13,149",589,12178," 4,892 ",99.04," 37,275 "
6,2002,"45,533","15,563",2896,17562," 1,467 ",123.36," 2,72,847 "
7,2002,"6,00,378","72,979",3026,835320, 115 ,128.40," 1,23,535 "
8,2002,"3,58,799","1,12,216",20188,112280," 1,966 ",126.71," 2,76,892 "
9,2002,"72,353","22,311",3791,44176, 774 ,126.23," 83,933 "
10,2002,"1,25,547","48,565",18334,28282," 3,948 ",118.71," 1,83,317 "
11,2002,"3,77,625","1,20,997",53627,151946," 3,640 ",122.92," 3,33,701 "
12,2002,"1,04,461","37,179",4108,65352," 1,320 ",150.93," 99,512 "
13,2002,"60,653","18,247",2245,39865," 1,127 ",108.52," 1,16,733 "
14,2002,"2,09,658","48,104",9030,112961," 1,050 ",123.67," 1,12,091 "
15,2002,"41,493","13,166",529,20691," 3,965 ",117.27," 97,371 "
16,2002,"3,37,589","1,02,820",99121,94162," 1,219 ",119.87," 11,80,275 "
17,2002,"8,89,894","3,14,683",23568,350494," 21,702 ",110.03," 2,76,286 "
18,2002,"4,96,822","4,08,842",8680,10118," 39,912 ",116.93," 1,87,456 "
19,2002,"1,81,675","44,502",4716,86386," 5,367 ",110.97," 48,508 "
20,2002,"4,49,238","1,87,217",133685,65545," 14,927 ",115.44," 8,22,719 "
21,2002,"1,48,405","55,318",14646,47607," 1,616 ",113.28," 1,99,889 "
22,2002,"3,41,405","2,51,374",4699,9753," 2,670 ",109.88," 3,33,477 "
23,2002,"3,07,546","1,82,062",4211,31459," 3,284 ",108.12," 5,77,819 "
24,2002,"3,69,390","2,70,872",1220,11064," 9,501 ",114.22," 13,45,929 "
25,2002,"1,26,157","1,09,782",447,4584," 9,961 ",112.07," 1,06,557 "
26,2002,"72,262","44,918",790,18075," 3,286 ",120.02," 57,284 "
27,2002,"5,90,960","4,97,979",793,40716," 16,524 ",119.73," 36,52,323 "
1,2003,"14,92,614","11,50,729",21695,248596," 2,53,972 ",106.62," 20,83,027 "
2,2003,"3,37,420","2,15,181",10624,29365," 2,631 ",124.33," 1,61,592 "
3,2003,"4,44,649","94,441",8405,255158," 10,293 ",118.08," 4,00,315 "
4,2003,"2,28,052","73,285",10880,94153," 14,248 ",118.18," 3,28,453 "
5,2003,"35,727","13,657",581,12918," 5,034 ",99.90," 40,735 "
6,2003,"54,949","18,025",3195,21654," 1,547 ",126.23," 2,75,192 "
7,2003,"6,20,833","77,749",9108,919215, 118 ,131.94," 1,28,873 "
8,2003,"3,86,759","1,21,236",22350,118420," 2,024 ",127.10," 2,79,880 "
9,2003,"75,088","21,043",3815,49839, 791 ,125.16," 88,571 "
10,2003,"1,31,269","50,300",19568,30223," 4,168 ",118.68," 1,99,461 "
11,2003,"4,21,577","1,30,150",72872,170885," 3,698 ",123.02," 3,59,767 "
12,2003,"1,12,122","40,451",4007,66665," 1,352 ",152.22," 1,09,692 "
13,2003,"71,918","21,978",2335,44790," 1,153 ",109.90," 1,27,556 "
14,2003,"2,46,822","56,207",9222,125771," 1,080 ",126.40," 1,18,318 "
15,2003,"52,945","14,486",490,27987," 4,271 ",117.54," 1,07,474 "
16,2003,"3,64,111","1,07,560",106661,97282," 1,254 ",120.76," 12,34,753 "
17,2003,"9,56,162","3,53,801",27530,386067," 23,517 ",110.36," 3,36,220 "
18,2003,"5,46,204","4,50,615",9470,11022," 41,405 ",117.61," 2,09,458 "
19,2003,"1,97,232","48,337",4900,90822," 5,687 ",111.41," 52,222 "
20,2003,"5,06,285","2,07,590",154094,80118," 15,601 ",116.22," 8,63,985 "
21,2003,"1,91,164","69,590",16848,61406," 1,768 ",113.59," 2,00,964 "
22,2003,"3,51,449","2,58,122",5253,11071," 2,855 ",110.25," 3,50,415 "
23,2003,"3,62,031","2,14,701",5185,33701," 3,649 ",109.47," 6,96,703 "
24,2003,"3,73,426","2,77,229",1111,10699," 9,208 ",114.88," 14,03,817 "
25,2003,"1,35,376","1,18,369",486,4845," 10,613 ",112.66," 1,20,710 "
26,2003,"78,063","49,847",850,19143," 3,476 ",120.90," 66,199 "
27,2003,"6,04,088","5,11,387",731,37088," 16,912 ",121.48," 38,86,475 "
1,2004,"15,17,320","11,52,841",21386,266473," 2,57,824 ",106.90," 21,61,853 "
2,2004,"3,54,779","2,32,212",12260,32554," 2,636 ",126.97," 1,83,466 "
3,2004,"4,82,304","97,336",8907,282683," 10,293 ",118.77," 4,41,969 "
4,2004,"2,59,546","81,665",11965,109935," 15,141 ",119.00," 3,74,062 "
5,2004,"34,289","12,458",499,12002," 5,184 ",100.77," 44,571 "
6,2004,"63,574","19,839",3295,25341," 1,633 ",129.17," 2,82,282 "
7,2004,"6,25,161","78,520",10338,840032, 122 ,135.58," 1,30,749 "
8,2004,"4,43,543","1,39,170",22605,129259," 2,085 ",127.49," 2,90,555 "
9,2004,"85,276","22,667",3778,55867, 809 ,124.10," 1,01,003 "
10,2004,"1,34,532","51,001",19469,30327," 4,400 ",118.64," 2,23,411 "
11,2004,"4,61,467","1,36,966",82505,198449," 3,756 ",123.11," 4,01,999 "
12,2004,"1,29,550","46,650",3964,73457," 1,385 ",153.52," 1,29,948 "
13,2004,"93,868","27,494",2973,54817," 1,180 ",111.29," 1,40,990 "
14,2004,"2,59,239","58,466",10186,127190," 1,112 ",129.19," 1,35,277 "
15,2004,"67,062","15,415",672,36575," 4,600 ",117.82," 1,22,924 "
16,2004,"3,64,548","1,16,105",90261,86715," 1,292 ",121.65," 12,79,919 "
17,2004,"11,41,028","4,11,620",29225,444993," 25,506 ",110.70," 4,12,623 "
18,2004,"5,85,731","4,83,515",9964,12915," 43,002 ",118.28," 2,32,348 "
19,2004,"2,20,592","53,852",5024,106426," 6,027 ",111.85," 58,411 "
20,2004,"5,58,373","2,31,164",151422,86911," 16,309 ",117.01," 9,07,969 "
21,2004,"2,32,140","84,172",18402,67459," 1,939 ",113.91," 2,09,535 "
22,2004,"3,73,553","2,78,996",5072,11043," 3,054 ",110.62," 3,62,492 "
23,2004,"4,19,757","2,52,454",6288,34759," 4,056 ",110.83," 8,33,203 "
24,2004,"4,06,894","2,95,462",1273,12478," 8,926 ",115.54," 14,95,417 "
25,2004,"1,44,504","1,26,341",460,4674," 11,317 ",113.25," 1,41,227 "
26,2004,"87,577","55,443",855,21187," 3,679 ",121.79," 79,876 "
27,2004,"6,19,064","5,25,179",780,34054," 17,325 ",123.26," 41,22,853 "
1,2005,"15,85,919","12,08,285",19733,276286," 2,54,693 ",107.28," 22,51,199 "
2,2005,"3,69,790","2,46,422",13154,34844," 2,630 ",130.68," 2,09,087 "
3,2005,"5,16,140","1,08,894",9162,307785," 10,400 ",119.73," 4,63,195 "
4,2005,"3,05,102","95,081",13579,137407," 15,173 ",119.66," 4,07,877 "
5,2005,"42,248","15,460",561,19037," 5,048 ",101.20," 45,447 "
6,2005,"70,361","23,382",3112,28078," 1,642 ",130.20," 2,88,101 "
7,2005,"5,13,606","71,055",11750,712192, 115 ,136.63," 1,53,369 "
8,2005,"4,69,551","1,46,813",22341,144955," 2,075 ",129.47," 3,14,430 "
9,2005,"66,691","17,346",2884,50319, 847 ,124.26," 1,06,280 "
10,2005,"1,56,866","58,777",19898,32899," 4,501 ",119.23," 2,36,809 "
11,2005,"5,35,741","1,42,977",76835,213080," 3,845 ",123.63," 4,52,251 "
12,2005,"1,60,275","56,108",3688,85713," 1,437 ",154.33," 1,46,588 "
13,2005,"1,29,419","39,961",3546,66108," 1,284 ",113.03," 1,55,787 "
14,2005,"2,22,649","67,085",8463,102267," 1,162 ",131.55," 1,46,780 "
15,2005,"86,340","18,367",824,44465," 4,822 ",118.07," 1,30,352 "
16,2005,"3,61,383","1,23,440",76225,80473," 1,331 ",122.53," 13,42,331 "
17,2005,"12,92,797","4,64,605",28166,530707," 27,811 ",110.93," 4,77,039 "
18,2005,"6,43,781","5,31,753",10522,15092," 43,835 ",118.96," 2,68,068 "
19,2005,"2,53,318","61,600",5199,125829," 6,295 ",112.91," 68,425 "
20,2005,"6,06,320","2,53,420",143931,93283," 16,796 ",117.79," 9,62,942 "
21,2005,"2,39,809","86,607",20117,82475," 1,955 ",115.49," 2,21,500 "
